nutrient,min,max,recommended,sufficient,unit
kcal,2000,2600,2400,,kcal
carbs_g,130,400,324,,g
protein_g,50,,55,,g
fat_g,40,80,,,g
saturated_fat_g,,20,,,g
trans_fat_g,,2,,,g
water_ml,,,2000,,ml
sodium_mg,,,2000,,mg
fiber_g,25,,,30,g
sugar_g,,50,,,g
cholesterol_mg,,300,,,mg
calcium_mg,,,700,800,mg
phosphorus_mg,,,700,,mg
magnesium_mg,,,350,,mg
iron_mg,,,10,,mg
zinc_mg,,,10,,mg
copper_mg,,,0.8,,mg
manganese_mg,,,,4,mg
selenium_ug,,,55,,ug
iodine_ug,,,150,,ug
chloride_mg,,,2300,,mg
potassium_mg,,,3500,,mg
vitamin_a_ug,,,700,,ug
vitamin_d_ug,,,10,15,ug
vitamin_e_mg,,,12,,mg
vitamin_k_ug,,,,75,ug
vitamin_c_mg,,,100,,mg
vitamin_b1_mg,,,1.2,,mg
vitamin_b2_mg,,,1.5,,mg
vitamin_b3_mg,,,16,,mg
vitamin_b6_mg,,,1.5,,mg
vitamin_b9_ug,,,400,,ug
vitamin_b12_ug,,,2.4,,ug
